UID,Titulo,Descripción,Número de Filas,Número de Columnas,alcance_geografico,es_viable,ds_encabezados_utiles,Información de la Entidad: Nombre de la Entidad,Información de la Entidad: Sector,Información de la Entidad: Orden,Información de la Entidad: Departamento,Información de la Entidad: Municipio,Categoría,Etiqueta,Fecha de última actualización de datos (UTC),API,url,ds_justificacion,ds_score_relevancia,ds_calidad_datos,ds_reto_principal,ds_retos_secundarios,ds_potencial_integracion,ds_reto_sugerido,ds_justificacion_sugerida,latitud,longitud
23k2-pmdb,"Modelo Digital de Terreno, Zona rural de la Ciudad de Bogotá","El modelo digital del terreno corresponde a una malla regular de puntos o celdas ráster espaciadas cada cincuenta centímetros, cubre parcialmente la zona rural de la Ciudad de Bogotá. Se extiende 87786.56 hectáreas aproximadamente. La nube de puntos LiDAR fue capturada con un sistema LiDAR en el año 2020.",0,0,nacional,True,True,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,"mdt,cartografía básica,ciudad de bogotá d.c.,zona rural,topografía,modelo digital de terreno,república de colombia",2026 Apr 06 07:20:06 PM,https://www.datos.gov.co/resource/23k2-pmdb.json,https://www.datos.gov.co/d/23k2-pmdb,[Objetivo] Análisis de terreno para gestión de riesgos y ordenamiento | [Insumos] modelo digital de terreno LiDAR | [Impacto] prevención de deslizamientos y planificación rural | [Metodo] Razonamiento,4,4,R06_MedioAmbiente,R04_Agricultura,False,,,4.61,-74.08
24ss-q5gc,Producción de Frutales en el departamento del valle del cauca,este conjunto de datos contiene la información sobre la Producción de Frutales en el departamento del valle del cauca,8160,230,regional,False,True,Gobernación de Valle del Cauca,Agricultura y Desarrollo Social,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,No disponible,2019 Mar 01 03:43:36 PM,https://www.datos.gov.co/resource/24ss-q5gc.json,https://www.datos.gov.co/d/24ss-q5gc,[Objetivo] Anticipar producción de frutales | [Insumos] producción de frutales | [Impacto] Mejora de la competitividad agrícola | [Metodo] Razonamiento,5,4,R04_Agricultura,No disponible,False,,,2.44,-76.61
25ke-dmy8,mosquera,"Relacióna la información de las estaciones hidrometeorologicas de propiedad del IDEAM: Nombre de la estación, codigo, tipo, clase y categoría, localización y otros.",0,110,nacional,False,True,"Instituto de Hidrología, Meteorología y Estudios Ambientales",Ambiente y Desarrollo Sostenible,Nacional,Bogotá D.C.,Bogotá D.C.,Ambiente y Desarrollo Sostenible,"ideam,catálogo estaciones,hidrometeorología",2026 Apr 21 09:00:36 AM,https://www.datos.gov.co/resource/25ke-dmy8.json,https://www.datos.gov.co/d/25ke-dmy8,[Objetivo] Anticipar rendimientos agricolas y riesgos climaticos | [Insumos] Estaciones hidrometeorologicas (meteorologia historica) | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,3,3,R04_Agricultura,R06_MedioAmbiente,False,,,4.61,-74.08
25nw-b8kq,ANALISIS DE LAS EMISIONES DE GASES DE EFECTO INVERNADERO (GEI) PRODUCTO DE LA ACTIVIDAD AGROPECUARIA EN LA REGION CENTRAL,"El conjunto de datos describe el tipo información que se analiza en la Región Administrativa y de Planeación Especial sobre la actividad ganadera municipio a municipio, interrelacionando la actividad en el Distrito Capital y los Departamentos de Cundinamarca, Boyacá, Meta y Tolima, que integran la RAP-E Región Central de Colombia, detallando el área reportada con vocación para la actividad ganadera, bajo distintos arreglos pastoriles, silvopastoriles y agrosilvopastoriles, según criterios de vocación del recurso suelo hallados por la UPRA, 2016.

Por otro lado, la información se presenta en conjunto con las emisiones de Gases de Efecto Invernadero (GEI) para cada municipio de la Región Central, de tal manera que con los datos se puede concebir el peso de participación de las emisiones de GEI producto de la actividad pecuaria, con respecto a los demás sectores económicos generadores de emisiones de GEI para cada municipio. 

Esos valores permiten realizar, junto con el nivel de Vulnerabilidad, la priorización de municipios para la intervención del Proyecto Ganadería Carbono Neutro, teniendo como valores de referencia el área total de vocación para la actividad ganadera, el inventario bovino y el nivel de vulnerabilidad al cambio climático que presenta cada territorio, que busca genera acciones para cumplimiento de la Ley 1931 de 2018 ""Por la cual se establecen directrices para la gestión del cambio climático"" y Acciones de Mitigación Nacionalmente Apropiadas - NAMAs  para el Sector Pecuari. Esta información que se convierte en relevante toda vez que permite que la ciudadanía identifique con claridad el tipo de emisiones que se generan con el Sector de Ganadería.",3150,490,regional,True,True,"Región Administrativa Y De Planeación Especial - RAPE, Bogotá D.C.",Agricultura y Desarrollo Social,Territorial,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,"cultivos agroindustriales,bovinos,area sembrada,emisiones,ganaderia,aréa sembradas,terneros",2025 Mar 20 04:26:49 PM,https://www.datos.gov.co/resource/25nw-b8kq.json,https://www.datos.gov.co/d/25nw-b8kq,"[Objetivo] Análisis de emisiones GEI de la actividad agropecuaria. | [Insumos] Datos de emisiones, área sembrada, ganadería. | [Impacto] Monitoreo de cambio climático y gestión ambiental en sector agrícola. | [Metodo] Razonamiento",4,4,R06_MedioAmbiente,R04_Agricultura,False,,,4.61,-74.08
25ph-rdea,"Evaluación de tierras para la producción del cultivo de Pepino (Cucumis sativus), en Providencia y Santa Catalina.","El mapa es el producto resultante de la validación y aplicación de la metodología de evaluación de tierras con fines agropecuarios a escala 1:10.000 en las islas de Providencia y Santa Catalina. El proceso de evaluación de tierras es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. El mapa de aptitud, es una herramienta que permite identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de Pepino (Cucumis sativus), bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de Pepino (Cucumis sativus).",242,90,nacional,True,True,"Unidad De Planificación De Tierras Rurales, Adecuación De Tierras Y Usos Agropecuarios - UPRA, Bogotá D.C.",Agricultura y Desarrollo Social,Nacional,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,"planificación,pepino,upra,productividad,sostenibilidad,zonificación",2022 May 13 04:54:51 PM,https://www.datos.gov.co/resource/25ph-rdea.json,https://www.datos.gov.co/d/25ph-rdea,[Objetivo] Evaluación de tierras para pepino en Providencia y Santa Catalina | [Insumos] Modelo de evaluación de tierras a escala 1:10.000 | [Impacto] Diversificación de cultivos de ciclo corto en las islas | [Metodo] Razonamiento,5,4,R04_Agricultura,No disponible,False,,,4.61,-74.08
25qu-8req,"Evaluación de Tierras para el cultivo tecnificado de Aguacate (Persea americana Miller) de variedad Lorena, en el departamento del Huila.","En el marco del Convenio No. 283 de 2017 de la UPRA, el proceso de evaluación de tierras es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios.Aplicar la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento del Huila, significará tener unos mapas de aptitud como herramientas que permitirán identificar posibles núcleos de desarrollo, orientarán políticas del sector agropecuario y de la planificación rural del departamento.Se tendrán como fuentes de información principal: El estudio de suelos y zonificación de tierras Departamento del Huila escala 1:100.000, mapa de coberturas y usos de la tierra actualizadas por la Upra a escala 1:100.000, año 2019 para el Huila, mapa de frontera agrícola oficial, exclusiones legales y condicionantes, información climática del Ideam, y evaluaciones agropecuarias municipales.Cada uno de los mapas de los siete TUT estará zonificado con las siguientes categorías: Aptitud alta (A1), Aptitud media (A2), Aptitud baja (A3), No apto técnico (N1), No apto legal (N2). Cada mapa tendrá las estadísticas por categoría de aptitud total para el departamento y por municipio.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de Aguacate (Persea americana Mill) variedad Lorena, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de Aguacate (Persea americana Mill) variedad Lorena.",4662,100,nacional,True,True,"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios",Agricultura y Desarrollo Rural,Nacional,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,"aguacate,huila,upra,sostenibilidad,productividad,planificación,zonificación,aptitud,lorena",2024 Nov 26 04:34:24 PM,https://www.datos.gov.co/resource/25qu-8req.json,https://www.datos.gov.co/d/25qu-8req,"[Objetivo] Identificar zonas aptas para aguacate Lorena en el Huila, insumo para la expansión ordenada del cultivo. | [Insumos] Evaluación de tierras con metodología UPRA. | [Impacto] Fortalece el desarrollo regional basado en cultivos promisorios. | [Metodo] Razonamiento",5,2,R04_Agricultura,R06_MedioAmbiente,False,,,4.61,-74.08
27ch-bs6u,Cadena Productiva Mango - Exportaciones,Cadena Productiva Mango - Exportaciones,3871,140,nacional,False,True,Ministerio de Agricultura y Desarrollo Rural,Agricultura y Desarrollo Social,Nacional,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,cadena productiva mango - exportaciones,2018 Dec 15 03:45:24 AM,https://www.datos.gov.co/resource/27ch-bs6u.json,https://www.datos.gov.co/d/27ch-bs6u,[Objetivo] Análisis de exportaciones de mango | [Insumos] Datos de exportaciones | [Impacto] Mercados agrícolas y resiliencia rural | [Metodo] Razonamiento,5,2,R04_Agricultura,No disponible,False,,,4.61,-74.08
28p6-pmgg,"Evaluación de Tierras para el cultivo tecnificado de limón criollo (Citrus aurantifolia ), en el departamento de Atlántico.","El mapa es el producto resultante de la validación y aplicación de la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento del Atlántico, en el marco del convenio interadministrativo No. 254 de 2016, suscrito entre la Gobernación de Atlántico y la UPRA. El proceso de evaluación de tierras es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. El mapa de aptitud, es una herramienta que permite identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción del cultivo tecnificado de limón criollo (Citrus aurantifolia ) para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No Apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de cultivo tecnificado de limón criollo (Citrus aurantifolia ), con fines comerciales.",7287,90,nacional,True,True,"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios",Agricultura y Desarrollo Social,Nacional,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,"aptitud,zonificación,planificación,productividad,sostenibilidad,limón,upra",2021 Sep 24 12:47:15 PM,https://www.datos.gov.co/resource/28p6-pmgg.json,https://www.datos.gov.co/d/28p6-pmgg,"[Objetivo] Evaluar tierras para limón criollo en Atlántico, apoyando la citricultura regional. | [Insumos] Zonificación de aptitud con criterios de productividad. | [Impacto] Impulsa la diversificación agrícola y la generación de valor agregado. | [Metodo] Razonamiento",5,2,R04_Agricultura,R06_MedioAmbiente,False,,,4.61,-74.08
29cv-av7d,"Evaluación de tierras para el cultivo tecnificado de Arroz (Oryza sativa L.) de riego, para la obtención de grano Paddy verde, en el departamento de Cundinamarca.","El mapa de evaluación de tierras para el cultivo tecnificado de arroz (Oryza sativa L.) de riego, es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. Aplicar la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento de Cundinamarca, significa con mapas de aptitud como herramientas que permiten identificar posibles núcleos de
desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento. Mediante la suscripción del convenio interadministrativo 1851558 de 2020, el departamento de Cundinamarca mediante gestión directa del Gobernador y de la
Secretaría de Agricultura, solicita a la UPRA apoyo para continuar con el proceso de ordenamiento territorial agropecuario del departamento, para fortalecer la gestión de información sectorial y su respectiva articulación con el sistema de planeación agropecuario de Cundinamarca y otros instrumentos y herramientas para contribuir a la productividad y competitividad del sector.
Categorías: 
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico. 
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico. 
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías. 
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad. 
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de arroz de riego.",8656,90,nacional,True,True,"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios",Agricultura y Desarrollo Social,Nacional,Bogotá D.C.,Bogotá D.C.,Agricultura y Desarrollo Rural,"aptitud,zonificación,planificación,productividad,sostenibilidad,upra,arroz",2023 Apr 13 04:41:53 PM,https://www.datos.gov.co/resource/29cv-av7d.json,https://www.datos.gov.co/d/29cv-av7d,[Objetivo] Planificar cultivo de arroz riego para grano Paddy | [Insumos] Evaluación de tierras en Cundinamarca | [Impacto] Incremento de productividad arrocera | [Metodo] Razonamiento,5,2,R04_Agricultura,No disponible,False,,,4.61,-74.08
2a2n-uphe,Estado de Producción de Leche en Sucre,Estadísticas descriptivas de producción de leche en el departamento de Sucre 2016 - 2018,780,60,regional,False,True,Gobernación de Sucre,Agricultura y Desarrollo Social,Territorial,Sucre,Sincelejo,Agricultura y Desarrollo Rural,"vacas,producción. ganaderia",2019 Oct 09 08:43:53 PM,https://www.datos.gov.co/resource/2a2n-uphe.json,https://www.datos.gov.co/d/2a2n-uphe,[Objetivo] Predicción de rendimiento agrícola | [Insumos] Estadísticas de producción lechera | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,5,3,R04_Agricultura,No disponible,False,,,9.3,-75.39
