anio,departamento,municipio,cultivo,hectareas_sembradas,produccion_obtenida_ton,rendimiento_ton_ha,aptitud,ph_suelo,altitud_m,materia_organica_pct,pendiente_pct,textura,latitud,longitud,temp_media_c,precipitacion_anual_mm,humedad_media_pct,brillo_solar_anual_horas,monto_creditos_cop,numero_creditos_aprobados,tasa_interes_promedio,precio_kg_anual_promedio_cop,hectareas_formalizadas,solicitudes_restitucion_activas,indice_seguridad_juridica,poblacion_bovina,poblacion_porcina,produccion_leche_litros_dia,vacunacion_fiebre_aftosa_pct
2023,Antioquia,Fredonia,Cafe,3352.3,4194.0,1.25,Alta,5.8,1800,4.83,25.89,Franco-Arenoso,5.92,-75.67,21.985479452054793,879.8,75.08219178082192,2549.4,420668131,71,11.97,12010.433962264151,49541.2,12,74.9,24020,21985,70003.3,96.31
2023,Antioquia,Fredonia,Cacao,2491.5,1267.3,0.51,Alta,6.15,1800,3.06,4.4,Franco,5.92,-75.67,21.985479452054793,879.8,75.08219178082192,2549.4,345173533,19,15.34,9598.11320754717,49541.2,12,74.9,24020,21985,70003.3,96.31
2023,Antioquia,Fredonia,Arroz,1493.1,6213.6,4.16,Media,6.16,1800,3.98,1.7,Franco-Arcilloso,5.92,-75.67,21.985479452054793,879.8,75.08219178082192,2549.4,403514079,116,12.76,2627.754716981132,49541.2,12,74.9,24020,21985,70003.3,96.31
2023,Antioquia,Fredonia,Maiz,1804.0,5446.9,3.02,Media,6.7,1800,1.5,34.74,Franco-Arenoso,5.92,-75.67,21.985479452054793,879.8,75.08219178082192,2549.4,366883351,73,11.3,1875.245283018868,49541.2,12,74.9,24020,21985,70003.3,96.31
2023,Antioquia,Fredonia,Platano,1630.9,17135.3,10.51,Alta,5.69,1800,3.34,15.69,Franco-Arenoso,5.92,-75.67,21.985479452054793,879.8,75.08219178082192,2549.4,121856386,66,13.98,1587.5849056603774,49541.2,12,74.9,24020,21985,70003.3,96.31
2024,Antioquia,Fredonia,Cafe,6542.0,8822.6,1.35,Alta,5.8,1800,4.83,25.89,Franco-Arenoso,5.92,-75.67,21.924043715846995,924.5,74.83633879781421,2583.9,496436912,69,11.71,12267.173076923076,49541.2,12,74.9,30383,19627,131159.3,96.07
2024,Antioquia,Fredonia,Cacao,3710.1,1943.4,0.52,Alta,6.15,1800,3.06,4.4,Franco,5.92,-75.67,21.924043715846995,924.5,74.83633879781421,2583.9,441555728,26,15.34,9805.307692307691,49541.2,12,74.9,30383,19627,131159.3,96.07
2024,Antioquia,Fredonia,Arroz,1338.8,5954.6,4.45,Media,6.16,1800,3.98,1.7,Franco-Arcilloso,5.92,-75.67,21.924043715846995,924.5,74.83633879781421,2583.9,133456030,18,14.85,2765.173076923077,49541.2,12,74.9,30383,19627,131159.3,96.07
2024,Antioquia,Fredonia,Maiz,2311.5,7179.5,3.11,Media,6.7,1800,1.5,34.74,Franco-Arenoso,5.92,-75.67,21.924043715846995,924.5,74.83633879781421,2583.9,122600090,85,13.48,2058.5,49541.2,12,74.9,30383,19627,131159.3,96.07
2024,Antioquia,Fredonia,Platano,3557.1,39582.3,11.13,Alta,5.69,1800,3.34,15.69,Franco-Arenoso,5.92,-75.67,21.924043715846995,924.5,74.83633879781421,2583.9,696321126,56,15.06,1774.1153846153845,49541.2,12,74.9,30383,19627,131159.3,96.07
2025,Antioquia,Fredonia,Cafe,1206.7,1515.0,1.26,Alta,5.8,1800,4.83,25.89,Franco-Arenoso,5.92,-75.67,22.044383561643834,938.3,74.70547945205479,2536.9,246177224,49,14.87,12509.576923076924,49541.2,12,74.9,23677,26370,103437.3,94.22
2025,Antioquia,Fredonia,Cacao,6897.3,3798.0,0.55,Alta,6.15,1800,3.06,4.4,Franco,5.92,-75.67,22.044383561643834,938.3,74.70547945205479,2536.9,401939534,107,14.53,9886.557692307691,49541.2,12,74.9,23677,26370,103437.3,94.22
2025,Antioquia,Fredonia,Arroz,6134.7,25080.9,4.09,Media,6.16,1800,3.98,1.7,Franco-Arcilloso,5.92,-75.67,22.044383561643834,938.3,74.70547945205479,2536.9,388974222,101,14.39,2936.846153846154,49541.2,12,74.9,23677,26370,103437.3,94.22
2025,Antioquia,Fredonia,Maiz,4961.9,13661.5,2.75,Media,6.7,1800,1.5,34.74,Franco-Arenoso,5.92,-75.67,22.044383561643834,938.3,74.70547945205479,2536.9,645805867,35,15.58,2252.269230769231,49541.2,12,74.9,23677,26370,103437.3,94.22
2025,Antioquia,Fredonia,Platano,7110.6,70768.6,9.95,Alta,5.69,1800,3.34,15.69,Franco-Arenoso,5.92,-75.67,22.044383561643834,938.3,74.70547945205479,2536.9,235930928,29,12.44,1965.8653846153845,49541.2,12,74.9,23677,26370,103437.3,94.22
2023,Antioquia,Jerico,Cafe,7365.8,10102.4,1.37,Alta,6.04,1900,2.9,2.59,Arcilloso,5.79,-75.78,21.934246575342467,936.9,74.53999999999999,2534.4,719123305,55,14.13,12010.433962264151,39244.1,16,71.5,45801,25816,177049.7,92.91
