UID,Titulo,Descripción,Etiqueta de las Filas,Número de Filas,Número de Columnas,alcance_geografico,es_viable,ds_encabezados_utiles,Información de la Entidad: Nombre de la Entidad,Información de la Entidad: Sector,Información de la Entidad: Orden,Información de la Entidad: Departamento,Información de la Entidad: Municipio,Categoría,Etiqueta,Fecha de última actualización de datos (UTC),API,url,ds_reto_principal,ds_retos_secundarios,ds_potencial_integracion,ds_score_relevancia,ds_calidad_datos,ds_justificacion,ds_reto_sugerido,ds_justificacion_sugerida
ftrh-jx2z,Inventario de Ganado Porcino - DEPARTAMENTO DE BOYACÁ,"Conjunto de datos que contiene la información del inventario de ganado porcino del Departamento de Boyacá a partir del año 2019, 2020 y 2021; las cifras fueron obtenidas a través de la Unidad de Planificación Rural Agropecuaria - UPRA del Ministerio de Agricultura  en coordinación con los municipios",,366,13.0,regional,True,True,Gobernación de Boyacá,Agricultura y Desarrollo Social,Territorial,Boyacá,Tunja,Agricultura y Desarrollo Rural,"boyacá,ganado,porcinos",2022 Sep 13 03:56:34 AM,https://www.datos.gov.co/resource/ftrh-jx2z.json,https://www.datos.gov.co/d/ftrh-jx2z,R04_Agricultura,,,5,4,"[Objetivo] Predicción de rendimiento agrícola y riesgo climático | [Insumos] inventario de ganado porcino, producción pecuaria | [Impacto] Mayor productividad y resiliencia económica rural | [Metodo] Razonamiento",,
rpqz-9ebw,INVENTARIO DE AVES - DEPARTAMENTO DE BOYACÁ,"Conjunto de datos que contiene la información del inventario de aves de carne, de postura, predios, reproductoras, traspatio y predios traspatio del Departamento de Boyacá por años. A partir del año 2019 hasta 2023 las cifras fueron obtenidas a través de la Unidad de Planificación Rural Agropecuaria - UPRA del Ministerio de Agricultura y en coordinación con los municipios.","Evaluaciones, agropecuarias, evas aves Boyacá ",489,10.0,regional,True,True,Gobernación de Boyacá,Agricultura y Desarrollo Social,Territorial,Boyacá,Tunja,Agricultura y Desarrollo Rural,"postura,aves,reproductora,agropecuario",2023 Aug 18 06:24:43 PM,https://www.datos.gov.co/resource/rpqz-9ebw.json,https://www.datos.gov.co/d/rpqz-9ebw,R04_Agricultura,,,5,5,"[Objetivo] Predicción de rendimientos avícolas | [Insumos] Inventario de aves de carne, postura, reproducción, traspatio por municipio y año | [Impacto] Fortalecimiento de la productividad pecuaria y seguridad alimentaria | [Metodo] Razonamiento",,
4wtf-sdh2,Inventario de Ganado Bovino - DEPARTAMENTO DE BOYACÁ,Conjunto de datos que contiene la información del inventario de ganado bovino del Departamento de Boyacá por años. A partir del año 2019 hasta 2021 las cifras fueron obtenidas a través de la Unidad de Planificación Rural Agropecuaria - UPRA del Ministerio de Agricultura y en coordinación con los municipios.,,738,11.0,regional,True,True,Gobernación de Boyacá,Agricultura y Desarrollo Social,Territorial,Boyacá,Tunja,Agricultura y Desarrollo Rural,"ganado bovino,información,inventario,boyacá",2022 Jun 28 03:07:33 PM,https://www.datos.gov.co/resource/4wtf-sdh2.json,https://www.datos.gov.co/d/4wtf-sdh2,R04_Agricultura,,,5,5,[Objetivo] Predicción de la producción ganadera | [Insumos] Inventario de ganado bovino por municipio y año | [Impacto] Fortalecimiento de la cadena cárnica y políticas de desarrollo rural | [Metodo] Razonamiento,,
qi54-achv,EVALUACIONES AGRÍCOLAS  DEL DEPARTAMENTO DE CALDAS,EVALUACIONES AGRÍCOLAS  DEL DEPARTAMENTO DE CALDAS,,3.287,18.0,regional,True,True,"Gobernación De Caldas, Caldas",No Aplica,Territorial,Caldas,Manizales,Agricultura y Desarrollo Rural,"eva,gobernación de caldas,evaluación agricola,agricola,evas",2025 Dec 09 08:58:18 PM,https://www.datos.gov.co/resource/qi54-achv.json,https://www.datos.gov.co/d/qi54-achv,R04_Agricultura,,,5,2,[Objetivo] Evaluación agrícola departamental | [Insumos] Datos de producción y cultivo | [Impacto] Planeación sectorial agropecuaria | [Metodo] Lexico: palabra='agricola',,
7475-g9fq,Explotación Agrícola del Departamento de Casanare,"Este conjunto de datos contiene los datos de la explotación agrícola del departamento de Casanare, la cual la constituyen los cultivos transitorios, los cultivos anuales y los cultivos permanentes.
Para reportar hallazgos, comentarios o sugerencias, puede escribirnos por medio de los siguientes mecanismos:
https://apps.casanare.gov.co/correspondencia/pqrs
sistemas@casanare.gov.co",Fila,812,10.0,regional,True,True,Gobernación de Casanare,Tecnologías de la Información y las Comunicaciones,Territorial,Casanare,Yopal,Agricultura y Desarrollo Rural,"departamento de casanare,explotación,gobernación,agricultura,agrícola",2022 Oct 08 03:55:59 PM,https://www.datos.gov.co/resource/7475-g9fq.json,https://www.datos.gov.co/d/7475-g9fq,R04_Agricultura,,,5,5,[Objetivo] Análisis de producción agrícola | [Insumos] datos de cultivos por tipo | [Impacto] planificación agrícola y seguridad alimentaria | [Metodo] Razonamiento,,
ien5-cjh2,Cifras del sector agrícola del Departamento de Casanare,"Cifras del sector agrícola, donde se reportan los cultivos de ciclo corto o transitorios, asi como los cultivos anuales y los cultivos permanentes de los 19 muicipios del departamento.

Para reportar hallazgos, comentarios o sugerencias, puede escribirnos por medio de los siguientes mecanismos:
https://apps.casanare.gov.co/correspondencia/pqrs
sistemas@casanare.gov.co",,119,13.0,regional,True,True,Gobernación de Casanare,Agricultura y Desarrollo Social,Territorial,Casanare,Yopal,Agricultura y Desarrollo Rural,"gobernación de casanare,siembra,agricultura,departamento de casanare",2023 Jul 07 04:39:37 PM,https://www.datos.gov.co/resource/ien5-cjh2.json,https://www.datos.gov.co/d/ien5-cjh2,R04_Agricultura,,,5,4,[Objetivo] Análisis de producción agrícola departamental | [Insumos] datos de cultivos por tipo y municipio | [Impacto] planificación agrícola y seguridad alimentaria | [Metodo] Razonamiento,,
8qez-p9r4,Producción Por Hectáreas De  Hortalizas En El  Valle Del Cauca,produccion por hectareas de hortalizas en el valle del cauca año 2016,,84,21.0,regional,True,True,Gobernación de Cauca,Función Pública,Territorial,Cauca,Popayán,Agricultura y Desarrollo Rural,"lechuga,habichuela,arveja,cilantro,pepino",2021 Jan 25 04:19:32 PM,https://www.datos.gov.co/resource/8qez-p9r4.json,https://www.datos.gov.co/d/8qez-p9r4,R04_Agricultura,,,5,3,"[Objetivo] Analisis de rendimiento de cultivos de hortalizas | [Insumos] Produccion por hectarea de lechuga, habichuela, etc. | [Impacto] Mejora en prediccion de rendimientos agricolas | [Metodo] Razonamiento",,
u3zj-ryn8,Censo cacaotero del departamento del Guaviare.,Georreferenciación del Censo Cacaotero del Departamento del Guaviare.,,,,regional,True,True,Gobernación de Guaviare,No Aplica,Territorial,Guaviare,San José del Guaviare,Agricultura y Desarrollo Rural,"censo cacaotero,cacao,guaviare",2025 Apr 21 10:32:36 PM,,https://www.datos.gov.co/d/u3zj-ryn8,R04_Agricultura,,,5,1,[Objetivo] Prediccion de rendimiento agricola y riesgo climatico | [Insumos] Censo cacaotero | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
7wj2-5ee8,Mapa georreferenciado de la estabilización de la frontera agrícola del departamento de Guaviare,"Mapa georreferenciado del proceso de estabilización de la frontera agrícola del departamento de Guaviare, para evitar la expansión hacia las áreas protegidas.",,,,regional,True,True,"Gobernación De Guaviare, Guaviare",,Territorial,Guaviare,San José Del Guaviare,Ambiente y Desarrollo Sostenible,"frontera agrícola,ambiente y desarrollo sostenible,san josé del guaviare,gobernación de guaviare,areas protegidas",2025 Oct 23 03:21:10 PM,,https://www.datos.gov.co/d/7wj2-5ee8,R04_Agricultura,R06_MedioAmbiente,,5,1,[Objetivo] Prediccion de rendimiento agricola y proteccion ambiental | [Insumos] Estabilizacion de frontera agricola y areas protegidas | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
r8qk-t36p,DIRECTORIO DE ORGANIZACIONES PRODUCTIVAS DEL SECTOR AGROPECUARIO EN EL DEPARTAMENTO DEL HUILA,"Directorio que recopila datos de contacto de las organizaciones productivas del sector agropecuario identificadas en el Departamento del Huila, pertenecientes a los sectores panelero, minero, ganadero, frutícola y cacaotero.",,228,8.0,regional,True,True,Gobernación de Huila,Agricultura y Desarrollo Social,Territorial,Huila,Neiva,Agricultura y Desarrollo Rural,"sectores productivos,agropecuario,frutas,cacao,ganaderia,mineria,paneleros,agremiaciones,asociaciones,piscicultura",2023 Nov 28 11:13:57 PM,https://www.datos.gov.co/resource/r8qk-t36p.json,https://www.datos.gov.co/d/r8qk-t36p,R04_Agricultura,,,5,4,[Objetivo] Identificar organizaciones productivas agropecuarias | [Insumos] Datos de contacto y sectores productivos | [Impacto] Fortalecimiento de cadenas agrícolas y desarrollo rural | [Metodo] Razonamiento,,
